n,delta_label,delta,p_label,p_true,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,p_error,mu1_error,mu2_error,sigma1_sq_error,sigma2_sq_error,p_abs_error,mu1_abs_error,mu2_abs_error,sigma1_sq_abs_error,sigma2_sq_abs_error
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,5,5,MM,0.0015994999557733536,False,,,,,,,,,,,,,,,
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,5,5,MLE,0.5920635999646038,True,0.6064444859165842,-0.6629148782700611,0.9519842202357991,0.43170458474544204,1.181590796437098,0.10644448591658418,-0.6629148782700611,0.4519842202357991,-0.568295415254558,0.18159079643709797,0.10644448591658418,0.6629148782700611,0.4519842202357991,0.568295415254558,0.18159079643709797
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,6,6,MM,0.0015301000094041228,True,0.5339845631126454,-0.5541237417957683,0.9285739098857686,0.3565959832128721,0.14359520816331062,0.033984563112645416,-0.5541237417957683,0.4285739098857686,-0.6434040167871279,-0.8564047918366894,0.033984563112645416,0.5541237417957683,0.4285739098857686,0.6434040167871279,0.8564047918366894
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,6,6,MLE,0.173378000035882,True,0.3421416252022753,-0.9260468962408479,0.6896247879451537,0.13676355689489025,0.25849219637653886,-0.1578583747977247,-0.9260468962408479,0.1896247879451537,-0.8632364431051097,-0.7415078036234611,0.1578583747977247,0.9260468962408479,0.1896247879451537,0.8632364431051097,0.7415078036234611
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,7,7,MM,0.0011530000483617187,True,0.0796200326110685,-2.019625519589702,0.11859341800785975,0.2950593580425273,0.7037294254272225,-0.4203799673889315,-2.019625519589702,-0.3814065819921403,-0.7049406419574726,-0.2962705745727775,0.4203799673889315,2.019625519589702,0.3814065819921403,0.7049406419574726,0.2962705745727775
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,7,7,MLE,2.1536371998954564,True,0.04998940899442892,-2.516759710820513,0.07806195814422248,1e-06,0.7225928800612246,-0.45001059100557106,-2.516759710820513,-0.42193804185577755,-0.999999,-0.2774071199387754,0.45001059100557106,2.516759710820513,0.42193804185577755,0.999999,0.2774071199387754
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,8,8,MM,0.0007402999326586723,True,0.4560251378518263,-0.8047828769768901,1.2576640003589246,0.7451576608263284,0.9596621447855137,-0.0439748621481737,-0.8047828769768901,0.7576640003589246,-0.2548423391736716,-0.040337855214486296,0.0439748621481737,0.8047828769768901,0.7576640003589246,0.2548423391736716,0.040337855214486296
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,8,8,MLE,2.2878427000250667,True,0.7611998273166883,-0.17518214061159385,1.8864517095208366,1.299675111266537,0.649594533393839,0.26119982731668834,-0.17518214061159385,1.3864517095208366,0.299675111266537,-0.350405466606161,0.26119982731668834,0.17518214061159385,1.3864517095208366,0.299675111266537,0.350405466606161
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,9,9,MM,0.0015418999828398228,False,,,,,,,,,,,,,,,
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,9,9,MLE,0.23026410001330078,True,0.3686780372886951,-0.14902110430017598,-0.0020798888098960064,1.6039132487687036,0.1441231076204761,-0.13132196271130492,-0.14902110430017598,-0.502079888809896,0.6039132487687036,-0.8558768923795239,0.13132196271130492,0.14902110430017598,0.502079888809896,0.6039132487687036,0.8558768923795239
