n,delta_label,delta,p_label,p_true,ratio_label,variance_ratio,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,p_error,mu1_error,mu2_error,sigma1_sq_error,sigma2_sq_error,p_abs_error,mu1_abs_error,mu2_abs_error,sigma1_sq_abs_error,sigma2_sq_abs_error
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,5,900000005,MM,0.0020556000526994467,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,5,900000005,MLE,2.4642003000481054,True,0.09117159473789664,-1.4946678039782366,0.3544311621126849,0.01307432765089158,0.8714809526773273,-0.40882840526210334,-1.4946678039782366,-0.2579412735831097,-0.9869256723491084,-1.1285190473226732,0.40882840526210334,1.4946678039782366,0.2579412735831097,0.9869256723491084,1.1285190473226732
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,2,900000002,MM,0.0014914000639691949,True,0.2852419542975867,-1.2716071857219529,0.4439009078592857,0.40691045104642404,0.6229121332030481,-0.2147580457024133,-1.2716071857219529,-0.16847152783650887,-0.5930895489535759,-1.3770878667969524,0.2147580457024133,1.2716071857219529,0.16847152783650887,0.5930895489535759,1.3770878667969524
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,2,900000002,MLE,2.5505570999812335,True,0.28176984661640175,-1.273716482217166,0.43643520532135593,0.415122207703918,0.6299767669505417,-0.21823015338359825,-1.273716482217166,-0.17593723037443865,-0.5848777922960819,-1.3700232330494586,0.21823015338359825,1.273716482217166,0.17593723037443865,0.5848777922960819,1.3700232330494586
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,12,900000012,MM,0.003162599983625114,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,12,900000012,MLE,0.3257328999461606,True,0.6292075470852418,0.033592067932077425,0.6305450371500844,3.5104851045193253,0.07340134815346593,0.12920754708524185,0.033592067932077425,0.018172601454289783,2.5104851045193253,-1.9265986518465346,0.12920754708524185,0.033592067932077425,0.018172601454289783,2.5104851045193253,1.9265986518465346
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,11,900000011,MM,0.003078600042499602,True,0.5167601140369162,-0.5527298828442946,1.3729352374110722,0.43211540291230344,0.23303407804182577,0.01676011403691624,-0.5527298828442946,0.7605628017152776,-0.5678845970876966,-1.7669659219581746,0.01676011403691624,0.5527298828442946,0.7605628017152776,0.5678845970876966,1.7669659219581746
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,11,900000011,MLE,0.6710794999962673,True,0.4853627959348309,-0.5981404589276506,1.2982804789473716,0.42467167182566445,0.30597063106930367,-0.014637204065169107,-0.5981404589276506,0.6859080432515771,-0.5753283281743355,-1.6940293689306967,0.014637204065169107,0.5981404589276506,0.6859080432515771,0.5753283281743355,1.6940293689306967
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,1,900000001,MM,0.0019121000077575445,True,0.6253406886448626,-0.10413317685454421,1.4675875875744766,0.5350375527305357,0.337898987486112,0.12534068864486259,-0.10413317685454421,0.855215151878682,-0.46496244726946434,-1.6621010125138884,0.12534068864486259,0.10413317685454421,0.855215151878682,0.46496244726946434,1.6621010125138884
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,1,900000001,MLE,3.235135899973102,True,0.9343056166073825,0.3729300963899483,2.0746972829530845,0.9223240671509819,0.0069913135334448975,0.43430561660738254,0.3729300963899483,1.4623248472572898,-0.07767593284901808,-1.9930086864665555,0.43430561660738254,0.3729300963899483,1.4623248472572898,0.07767593284901808,1.9930086864665555
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,10,900000010,MM,0.0025661999825388193,True,0.8276083669531669,0.047131091064671116,2.0692720616223363,0.6164085253169855,0.4432376116393744,0.32760836695316686,0.047131091064671116,1.4568996259265417,-0.38359147468301447,-1.556762388360626,0.32760836695316686,0.047131091064671116,1.4568996259265417,0.38359147468301447,1.556762388360626
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,10,900000010,MLE,0.9486739999847487,True,0.26873133001127825,-0.37191366033096,0.6778303900641082,0.09821166482198766,1.2676700985041582,-0.23126866998872175,-0.37191366033096,0.06545795436831359,-0.9017883351780124,-0.7323299014958422,0.23126866998872175,0.37191366033096,0.06545795436831359,0.9017883351780124,0.7323299014958422
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,13,900000013,MM,0.0009481000015512109,True,0.4779466206442155,-0.7137744863975783,1.1780107108519766,0.38124638858533794,0.41595918562926315,-0.022053379355784497,-0.7137744863975783,0.565638275156182,-0.6187536114146621,-1.5840408143707374,0.022053379355784497,0.7137744863975783,0.565638275156182,0.6187536114146621,1.5840408143707374
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,13,900000013,MLE,0.5119247999973595,True,0.5475076613364738,-0.5757657780797457,1.3018442372211174,0.4815871407534772,0.34314360408918776,0.04750766133647377,-0.5757657780797457,0.6894718015253228,-0.5184128592465228,-1.6568563959108127,0.04750766133647377,0.5757657780797457,0.6894718015253228,0.5184128592465228,1.6568563959108127
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,9,900000009,MM,0.0036567000206559896,True,0.9017543816374832,0.004731395787886297,1.0058774160336352,1.4322891754321765,2.7629420052000113,0.4017543816374832,0.004731395787886297,0.39350498033784065,0.4322891754321765,0.7629420052000109,0.4017543816374832,0.004731395787886297,0.39350498033784065,0.4322891754321765,0.7629420052000109
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,9,900000009,MLE,1.3323432999895886,True,0.7294736195953312,0.028428087997860802,0.30441417670595255,2.1451478413451426,0.26598744231564575,0.2294736195953312,0.028428087997860802,-0.307958258989842,1.1451478413451426,-1.7340125576843546,0.2294736195953312,0.028428087997860802,0.307958258989842,1.1451478413451426,1.7340125576843546
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,6,900000006,MM,0.0018602999625727534,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,6,900000006,MLE,3.4347715999465436,True,0.9321501283884476,0.09199983176201461,0.8674971473488572,1.3088223157579277,0.0032724109793961773,0.4321501283884476,0.09199983176201461,0.2551247116530626,0.30882231575792773,-1.9967275890206042,0.4321501283884476,0.09199983176201461,0.2551247116530626,0.30882231575792773,1.9967275890206042
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,18,900000018,MM,0.002029899973422289,False,,,,,,,,,,,,,,,
