scenario,n,delta_label,delta,p_label,p_true,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,mu1_abs_error,mu2_abs_error
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,44,1050100044,MLE,0.3941632999922149,True,0.49702112057974934,0.05101094320901993,3.0876543467322497,0.8929174233597394,0.9147175152796482,0.05101094320901993,0.0876543467322497
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,42,1050100042,MM,0.0017054000054486096,True,0.4380447703033976,-0.16826923942316419,2.98131573540173,1.03938193906495,1.0862164535873566,0.16826923942316419,0.018684264598269884
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,42,1050100042,MLE,0.602827900002012,True,0.45791659401406415,-0.07986986450928718,3.022099969827315,1.1764420440314305,1.0706281480309805,0.07986986450928718,0.022099969827315213
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,41,1050100041,MM,0.00350989997969009,True,0.5759788659157927,0.4782055018398801,3.2834159468383364,1.344974961565193,0.3656168669506977,0.4782055018398801,0.2834159468383364
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,41,1050100041,MLE,0.7134245999914128,True,0.5123173962239204,0.28198342156936196,3.123361366516256,1.1301497635844224,0.52380980813353,0.28198342156936196,0.12336136651625607
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,45,1050100045,MM,0.0020668999932240695,True,0.6103927327530249,0.4893227563339331,3.334154788148907,1.6873220454953786,0.49996081340767123,0.4893227563339331,0.33415478814890687
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,45,1050100045,MLE,0.5053100000077393,True,0.5487151881842254,0.2682572725069308,3.21414129676654,1.3605518154858616,0.5624817404743877,0.2682572725069308,0.21414129676653992
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,49,1050100049,MM,0.0010949999850708991,True,0.5147836467237064,-0.21643916381700268,2.868601842253674,0.4980799120906788,1.2475043332211007,0.21643916381700268,0.13139815774632613
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,49,1050100049,MLE,0.2004517999885138,True,0.5757248829776492,-0.11236086821283033,3.1704949844812025,0.504919422207141,0.7443776093029707,0.11236086821283033,0.17049498448120248
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,40,1050100040,MM,0.0019044999789912254,True,0.6493647598114931,0.27224705043285846,3.315736465183621,1.4425419109116193,0.5690941056391837,0.27224705043285846,0.3157364651836212
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,40,1050100040,MLE,1.184958199999528,True,0.6597044265967326,0.32275398025637214,3.31029713858015,1.5538860996591781,0.6362800138847386,0.32275398025637214,0.31029713858014984
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,48,1050100048,MM,0.0015533999830950052,True,0.4391618972308333,-0.12488478773659462,2.7725494246853044,0.8190767739540469,0.7880984607940476,0.12488478773659462,0.2274505753146956
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,48,1050100048,MLE,0.4614937000151258,True,0.36392080430785684,-0.3637715304606844,2.566489767095356,0.6168752151654018,1.0333770639107265,0.3637715304606844,0.4335102329046441
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,47,1050100047,MM,0.0018646999960765243,True,0.7017913412370217,0.2964023633483662,3.5374368401409297,1.6251059549709166,0.6210334444196071,0.2964023633483662,0.5374368401409297
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,47,1050100047,MLE,0.5857098000124097,True,0.5634533954855626,-0.11430267576747744,3.0404798129809336,1.0779474310772867,1.073339635997543,0.11430267576747744,0.040479812980933616
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,51,1050100051,MM,0.0011412999883759767,True,0.3798012753395075,-0.6197935520391049,2.8920582879728105,0.5691444294650629,1.2501277027614475,0.6197935520391049,0.1079417120271895
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,51,1050100051,MLE,0.4068674999871291,True,0.3840084826195886,-0.6075325718800083,2.9084006692516158,0.5752378741692333,1.2200701212932343,0.6075325718800083,0.09159933074838422
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,43,1050100043,MM,0.003110299992840737,True,0.5664507564516703,-0.0368086754845216,3.232151117047226,1.4892038238429546,0.8427623089345878,0.0368086754845216,0.23215111704722613
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,43,1050100043,MLE,1.3576911000127438,True,0.5498256173500498,-0.09363549843397788,3.180833074198524,1.4233195301385682,0.8813974509637007,0.09363549843397788,0.180833074198524
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,46,1050100046,MM,0.000895500008482486,True,0.5011622692046854,-0.23719972165934822,2.75598492495725,0.9949691676993694,1.3073975869608996,0.23719972165934822,0.24401507504274988
